NumAgrupaciones / Ident / TiempoCompresion / TiempoInsercion
2690 / TBAI-08141779D-230221-wUrYQu89te22H-118 / 370.5614000558853 / 137.9064000248909
2700 / TBAI-80237996N-190121-UUyC+ladOlKAZ-048 / 368.9244000315666 / 118.84560000896454
2710 / TBAI-35822976Q-100121-sHq1rZUIy1DFu-033 / 381.06160002946854 / 107.34690004587173
2720 / TBAI-21790271W-260121-a+j8OfupvXuk7-093 / 371.8658999800682 / 125.2043000459671
2730 / TBAI-53715040N-240221-jmtR+MQfpN5iO-069 / 375.85629999637604 / 108.75989997386932
2740 / TBAI-35766705A-080121-uLJOLXyPFVwMl-105 / 379.32779997587204 / 117.89590001106262
2750 / TBAI-60946587Z-210221-SZoCYN2JNx5Kz-240 / 375.65289998054504 / 109.54949998855591
2760 / TBAI-16384906M-090221-KTHHSCH+Of+6f-016 / 379.4322000145912 / 122.10190004110336
2770 / TBAI-67109461S-140221-WNu9SAjay5jx4-166 / 375.59769999980927 / 104.07210004329681
2780 / TBAI-71639745N-040221-Pue7Hai5Cl7FF-002 / 390.54919999837875 / 101.18689996004105
2790 / TBAI-39376714R-070121-eaGciEisynxo9-215 / 376.0141999721527 / 103.78159999847412
2800 / TBAI-54515031V-130121-C2KdJLrbg4/qR-104 / 381.2699000239372 / 108.24749994277954
2810 / TBAI-96391617C-250121-FbHwPtwXNWoNX-103 / 383.6758000254631 / 106.08200001716614
2820 / TBAI-38142889B-250221-ES0aO4VSruHrk-003 / 384.29960000514984 / 100.56940001249313
2830 / TBAI-82733501V-090121-PITGzSy5IZfJm-048 / 388.11309999227524 / 109.24919998645782
2840 / TBAI-39886041Q-120121-TGBOa3aSAc1eM-028 / 392.14239996671677 / 118.04460000991821
2850 / TBAI-96180996X-160121-BfKwN86L6jX0/-157 / 389.5548999905586 / 102.72740000486374
2860 / TBAI-42521925P-110221-TuPabdrgmvicF-248 / 389.47279995679855 / 113.95190000534058
2870 / TBAI-05842509A-240221-tBnZQh8Y6ClP+-019 / 387.78079998493195 / 109.03880000114441
2880 / TBAI-28878659C-200121-Q/2k7fSycwu+d-105 / 389.2063999772072 / 110.48240000009537
2890 / TBAI-92417541E-140221-OJQPIqF6jlQYY-139 / 396.07330000400543 / 113.5038999915123
2900 / TBAI-46236756V-170121-qQDV2udPgnmuA-222 / 393.095999956131 / 104.88679999113083
2910 / TBAI-50802120L-050221-Py6xEag+pfhlH-250 / 393.21920001506805 / 109.22420001029968
2920 / TBAI-06261184D-280121-e9syUU5UigDlw-239 / 393.7389000058174 / 109.45770001411438
2930 / TBAI-65262301P-190121-NB1HV74NTjF6H-017 / 396.22000002861023 / 112.21230000257492
